CustomerID	Account Number	Sort Code
2186859	895286330	37-68-43
3294657	351050486	68-81-22
2301458	960364582	47-50-65
7836985	684584316	67-19-67
4553206	355527880	60-81-30
5629462	633315335	37-87-62
8149944	896970911	77-10-55
8428255	828738030	50-20-69
9065670	585220056	44-70-35
8073239	634302220	98-92-20
3738629	916691575	54-59-49
9481801	105969206	92-88-81
5631144	558373701	42-87-84
6807988	902760206	91-23-71
1697799	601276125	37-93-98
9856909	956215535	68-65-52
5377669	774306139	36-39-24
3092653	350762140	63-28-48
3067060	482985205	58-11-30
6951391	416913842	82-80-67
7457662	221706836	42-59-89
2293351	160389493	28-10-92
1709327	749148727	10-48-79
6509261	757493445	91-19-92
1300718	103563942	52-68-34
3541956	214530998	48-40-26
2536075	479966828	50-13-82
2881402	416224519	16-69-33
5342700	711972518	12-71-93
7682862	397307130	37-19-73
7560154	461076261	13-68-40
5716191	728269142	70-17-42
2398319	532827358	11-69-48
7625143	547543339	86-67-40
5930437	163858333	95-21-10
2801634	145225283	49-20-67
3577900	350703823	64-74-97
4950104	642134769	24-85-72
3705745	878532061	42-44-31
5428159	987776090	95-15-49
1540341	429428333	78-49-66
5241696	748172651	89-17-98
5048060	272860588	30-88-90
9782821	607780185	98-37-46
9441584	965829829	54-40-44
2021811	349573883	33-17-17
2402332	596436710	33-43-90
2754674	139858360	22-98-17
8149562	225116626	58-74-52
3442253	997919200	88-59-26
3853986	512718449	79-37-31
1120085	964957022	14-35-48
7491918	194971855	45-92-93
3073248	507621807	76-40-12
6897895	466231195	29-41-58
8263306	375116555	14-75-84
4530188	400911469	72-21-79
8491668	484108272	93-69-91
1326593	923746587	17-61-39
4439126	725523207	90-58-15
9264914	790446779	30-56-35
6934301	489752846	16-86-47
7680032	381965943	61-21-62
5244851	596734013	86-44-86
4148552	391531887	32-14-30
4538279	690383062	96-41-32
6387284	807732517	46-53-68
8315235	793359106	18-75-34
1460236	385839116	44-12-38
7415046	653814167	73-63-16
1065470	533378635	94-16-59
5190922	382113005	13-19-88
4345281	196779907	62-88-28
7425727	761554185	22-45-84
2024354	950876239	55-97-39
9837713	324929649	80-48-67
3782107	286733028	35-47-17
2678247	636628939	69-56-61
5896724	565246522	48-85-20
2911166	899517993	46-93-16
7861307	288224459	71-14-21
4199059	250399215	10-56-16
8922828	942078208	96-95-21
5633001	594930750	85-45-78
8947751	151763750	60-35-74
1997362	797885189	47-80-41
7502961	667725194	19-65-44
2273496	583784615	36-57-55
7292319	526009504	28-23-77
1993659	232881039	36-15-31
6454560	885857594	94-93-82
6954797	950195118	26-63-30
2563352	351474788	72-99-41
2143065	117251450	33-81-80
4786008	689195812	99-20-75
7864334	695828693	91-33-11
3426149	939888103	31-18-67
9725584	439127844	90-16-65
5597510	819948508	21-11-69
